,Lat,Lon,sst_Summer
146,-89.5,-33.5,-1.7999996
147,-89.5,-32.5,-1.7999996
148,-89.5,-31.5,-1.7999996
149,-89.5,-30.5,-1.7999996
150,-89.5,-29.5,-1.7999996
151,-89.5,-28.5,-1.7999996
152,-89.5,-27.5,-1.7999996
153,-89.5,-26.5,-1.7999996
154,-89.5,-25.5,-1.7999996
155,-89.5,-24.5,-1.7999996
156,-89.5,-23.5,-1.7999996
157,-89.5,-22.5,-1.7999996
158,-89.5,-21.5,-1.7999996
159,-89.5,-20.5,-1.7999996
160,-89.5,-19.5,-1.7999996
161,-89.5,-18.5,-1.7999996
162,-89.5,-17.5,-1.7999996
163,-89.5,-16.5,-1.7999996
164,-89.5,-15.5,-1.7999996
165,-89.5,-14.5,-1.7999996
166,-89.5,-13.5,-1.7999996
167,-89.5,-12.5,-1.7999996
168,-89.5,-11.5,-1.7999996
169,-89.5,-10.5,-1.7999996
170,-89.5,-9.5,-1.7999996
171,-89.5,-8.5,-1.7999996
172,-89.5,-7.5,-1.7999996
173,-89.5,-6.5,-1.7999996
174,-89.5,-5.5,-1.7999996
175,-89.5,-4.5,-1.7999996
176,-89.5,-3.5,-1.7999996
177,-89.5,-2.5,-1.7999996
178,-89.5,-1.5,-1.7999996
179,-89.5,-0.5,-1.7999996
180,-89.5,0.5,-1.7999996
181,-89.5,1.5,-1.7999996
182,-89.5,2.5,-1.7999996
183,-89.5,3.5,-1.7999996
184,-89.5,4.5,-1.7999996
185,-89.5,5.5,-1.7999996
186,-89.5,6.5,-1.7999996
187,-89.5,7.5,-1.7999996
188,-89.5,8.5,-1.7999996
189,-89.5,9.5,-1.7999996
190,-89.5,10.5,-1.7999996
191,-89.5,11.5,-1.7999996
192,-89.5,12.5,-1.7999996
193,-89.5,13.5,-1.7999996
194,-89.5,14.5,-1.7999996
195,-89.5,15.5,-1.7999996
196,-89.5,16.5,-1.7999996
197,-89.5,17.5,-1.7999996
198,-89.5,18.5,-1.7999996
199,-89.5,19.5,-1.7999996
200,-89.5,20.5,-1.7999996
201,-89.5,21.5,-1.7999996
202,-89.5,22.5,-1.7999996
203,-89.5,23.5,-1.7999996
204,-89.5,24.5,-1.7999996
205,-89.5,25.5,-1.7999996
206,-89.5,26.5,-1.7999996
207,-89.5,27.5,-1.7999996
208,-89.5,28.5,-1.7999996
209,-89.5,29.5,-1.7999996
210,-89.5,30.5,-1.7999996
211,-89.5,31.5,-1.7999996
212,-89.5,32.5,-1.7999996
213,-89.5,33.5,-1.7999996
214,-89.5,34.5,-1.7999996
215,-89.5,35.5,-1.7999996
216,-89.5,36.5,-1.7999996
217,-89.5,37.5,-1.7999996
218,-89.5,38.5,-1.7999996
219,-89.5,39.5,-1.7999996
220,-89.5,40.5,-1.7999996
221,-89.5,41.5,-1.7999996
222,-89.5,42.5,-1.7999996
223,-89.5,43.5,-1.7999996
224,-89.5,44.5,-1.7999996
225,-89.5,45.5,-1.7999996
226,-89.5,46.5,-1.7999996
227,-89.5,47.5,-1.7999996
228,-89.5,48.5,-1.7999996
229,-89.5,49.5,-1.7999996
230,-89.5,50.5,-1.7999996
231,-89.5,51.5,-1.7999996
232,-89.5,52.5,-1.7999996
233,-89.5,53.5,-1.7999996
234,-89.5,54.5,-1.7999996
235,-89.5,55.5,-1.7999996
236,-89.5,56.5,-1.7999996
237,-89.5,57.5,-1.7999996
238,-89.5,58.5,-1.7999996
239,-89.5,59.5,-1.7999996
240,-89.5,60.5,-1.7999996
241,-89.5,61.5,-1.7999996
242,-89.5,62.5,-1.7999996
243,-89.5,63.5,-1.7999996
244,-89.5,64.5,-1.7999996
245,-89.5,65.5,-1.7999996
246,-89.5,66.5,-1.7999996
247,-89.5,67.5,-1.7999996
248,-89.5,68.5,-1.7999996
249,-89.5,69.5,-1.7999996
250,-89.5,70.5,-1.7999996
251,-89.5,71.5,-1.7999996
252,-89.5,72.5,-1.7999996
253,-89.5,73.5,-1.7999996
254,-89.5,74.5,-1.7999996
255,-89.5,75.5,-1.7999996
256,-89.5,76.5,-1.7999996
257,-89.5,77.5,-1.7999996
258,-89.5,78.5,-1.7999996
259,-89.5,79.5,-1.7999996
260,-89.5,80.5,-1.7999996
261,-89.5,81.5,-1.7999996
262,-89.5,82.5,-1.7999996
263,-89.5,83.5,-1.7999996
264,-89.5,84.5,-1.7999996
265,-89.5,85.5,-1.7999996
266,-89.5,86.5,-1.7999996
267,-89.5,87.5,-1.7999996
268,-89.5,88.5,-1.7999996
269,-89.5,89.5,-1.7999996
270,-89.5,90.5,-1.7999996
271,-89.5,91.5,-1.7999996
272,-89.5,92.5,-1.7999996
273,-89.5,93.5,-1.7999996
274,-89.5,94.5,-1.7999996
275,-89.5,95.5,-1.7999996
276,-89.5,96.5,-1.7999996
277,-89.5,97.5,-1.7999996
278,-89.5,98.5,-1.7999996
279,-89.5,99.5,-1.7999996
280,-89.5,100.5,-1.7999996
281,-89.5,101.5,-1.7999996
282,-89.5,102.5,-1.7999996
283,-89.5,103.5,-1.7999996
284,-89.5,104.5,-1.7999996
285,-89.5,105.5,-1.7999996
286,-89.5,106.5,-1.7999996
287,-89.5,107.5,-1.7999996
288,-89.5,108.5,-1.7999996
289,-89.5,109.5,-1.7999996
290,-89.5,110.5,-1.7999996
291,-89.5,111.5,-1.7999996
292,-89.5,112.5,-1.7999996
293,-89.5,113.5,-1.7999996
294,-89.5,114.5,-1.7999996
295,-89.5,115.5,-1.7999996
296,-89.5,116.5,-1.7999996
297,-89.5,117.5,-1.7999996
298,-89.5,118.5,-1.7999996
299,-89.5,119.5,-1.7999996
300,-89.5,120.5,-1.7999996
301,-89.5,121.5,-1.7999996
302,-89.5,122.5,-1.7999996
303,-89.5,123.5,-1.7999996
304,-89.5,124.5,-1.7999996
305,-89.5,125.5,-1.7999996
306,-89.5,126.5,-1.7999996
307,-89.5,127.5,-1.7999996
308,-89.5,128.5,-1.7999996
309,-89.5,129.5,-1.7999996
310,-89.5,130.5,-1.7999996
311,-89.5,131.5,-1.7999996
312,-89.5,132.5,-1.7999996
313,-89.5,133.5,-1.7999996
314,-89.5,134.5,-1.7999996
315,-89.5,135.5,-1.7999996
316,-89.5,136.5,-1.7999996
317,-89.5,137.5,-1.7999996
318,-89.5,138.5,-1.7999996
319,-89.5,139.5,-1.7999996
320,-89.5,140.5,-1.7999996
321,-89.5,141.5,-1.7999996
322,-89.5,142.5,-1.7999996
323,-89.5,143.5,-1.7999996
324,-89.5,144.5,-1.7999996
325,-89.5,145.5,-1.7999996
326,-89.5,146.5,-1.7999996
327,-89.5,147.5,-1.7999996
328,-89.5,148.5,-1.7999996
329,-89.5,149.5,-1.7999996
330,-89.5,150.5,-1.7999996
331,-89.5,151.5,-1.7999996
332,-89.5,152.5,-1.7999996
333,-89.5,153.5,-1.7999996
334,-89.5,154.5,-1.7999996
335,-89.5,155.5,-1.7999996
336,-89.5,156.5,-1.7999996
337,-89.5,157.5,-1.7999996
338,-89.5,158.5,-1.7999996
339,-89.5,159.5,-1.7999996
340,-89.5,160.5,-1.7999996
341,-89.5,161.5,-1.7999996
342,-89.5,162.5,-1.7999996
343,-89.5,163.5,-1.7999996
344,-89.5,164.5,-1.7999996
345,-89.5,165.5,-1.7999996
346,-89.5,166.5,-1.7999996
347,-89.5,167.5,-1.7999996
348,-89.5,168.5,-1.7999996
349,-89.5,169.5,-1.7999996
350,-89.5,170.5,-1.7999996
351,-89.5,171.5,-1.7999996
352,-89.5,172.5,-1.7999996
353,-89.5,173.5,-1.7999996
354,-89.5,174.5,-1.7999996
355,-89.5,175.5,-1.7999996
356,-89.5,176.5,-1.7999996
357,-89.5,177.5,-1.7999996
358,-89.5,178.5,-1.7999996
359,-89.5,179.5,-1.7999996
360,-88.5,-179.5,-1.7999996
361,-88.5,-178.5,-1.7999996
362,-88.5,-177.5,-1.7999996
363,-88.5,-176.5,-1.7999996
364,-88.5,-175.5,-1.7999996
365,-88.5,-174.5,-1.7999996
366,-88.5,-173.5,-1.7999996
367,-88.5,-172.5,-1.7999996
368,-88.5,-171.5,-1.7999996
369,-88.5,-170.5,-1.7999996
370,-88.5,-169.5,-1.7999996
371,-88.5,-168.5,-1.7999996
372,-88.5,-167.5,-1.7999996
373,-88.5,-166.5,-1.7999996
374,-88.5,-165.5,-1.7999996
375,-88.5,-164.5,-1.7999996
376,-88.5,-163.5,-1.7999996
377,-88.5,-162.5,-1.7999996
378,-88.5,-161.5,-1.7999996
379,-88.5,-160.5,-1.7999996
380,-88.5,-159.5,-1.7999996
381,-88.5,-158.5,-1.7999996
382,-88.5,-157.5,-1.7999996
383,-88.5,-156.5,-1.7999996
384,-88.5,-155.5,-1.7999996
385,-88.5,-154.5,-1.7999996
386,-88.5,-153.5,-1.7999996
387,-88.5,-152.5,-1.7999996
388,-88.5,-151.5,-1.7999996
389,-88.5,-150.5,-1.7999996
390,-88.5,-149.5,-1.7999996
391,-88.5,-148.5,-1.7999996
392,-88.5,-147.5,-1.7999996
393,-88.5,-146.5,-1.7999996
394,-88.5,-145.5,-1.7999996
395,-88.5,-144.5,-1.7999996
396,-88.5,-143.5,-1.7999996
397,-88.5,-142.5,-1.7999996
398,-88.5,-141.5,-1.7999996
399,-88.5,-140.5,-1.7999996
400,-88.5,-139.5,-1.7999996
401,-88.5,-138.5,-1.7999996
402,-88.5,-137.5,-1.7999996
403,-88.5,-136.5,-1.7999996
404,-88.5,-135.5,-1.7999996
405,-88.5,-134.5,-1.7999996
406,-88.5,-133.5,-1.7999996
407,-88.5,-132.5,-1.7999996
408,-88.5,-131.5,-1.7999996
409,-88.5,-130.5,-1.7999996
410,-88.5,-129.5,-1.7999996
411,-88.5,-128.5,-1.7999996
412,-88.5,-127.5,-1.7999996
413,-88.5,-126.5,-1.7999996
414,-88.5,-125.5,-1.7999996
415,-88.5,-124.5,-1.7999996
416,-88.5,-123.5,-1.7999996
417,-88.5,-122.5,-1.7999996
418,-88.5,-121.5,-1.7999996
419,-88.5,-120.5,-1.7999996
420,-88.5,-119.5,-1.7999996
421,-88.5,-118.5,-1.7999996
422,-88.5,-117.5,-1.7999996
423,-88.5,-116.5,-1.7999996
424,-88.5,-115.5,-1.7999996
